# Z0.004Y0.256O_IN0.0OUTA1.74_F71_M7.20.UNF 
# M=7.2, Z=0.004, Y=0.256, omega_i=0.0 
                MASS                 AGE               Dtime               LOG_L              LOG_TE               RSTAR                CONV               QSCHW                QHEL              QCAROX              LOG_Tc             LOG_RHc              LOG_Pc               PSI_C              G1_AVG                XCEN               XHE3C                YCEN              XC_CEN              XN_CEN              XO_CEN             XNE_CEN             XMG_CEN           XSI28_CEN            XS32_CEN           XAR36_CEN           XCA40_CEN           XTI44_CEN                RATE                Xsup                Ysup               XCsup             XC13sup               XNsup               XOsup             XO18sup              XNEsup              XMGsup          POLRAD_ENV           EQRAD_ENV             OMG_ENV         ANG_VEL_ENV          TANVEL_ENV         TOT_INERTIA          TOT_ANGMOM        TOT_MOM_LOST              R_CONV                RHEL             R_CAROX         INERTIA_HEL          ANGMOM_HEL       INERTIA_CAROX        ANGMOM_CAROX                TMAX              RHTMAX               QTMAX                LNUC                  LX                  LY                  LC              LNEUTR              L_GRAV               L_ACC               Q_CNV            DPTH_CNV         INERTIA_CNV          ANGMOM_CNV             TCNV_YR              T20L10             RH20L10              P20L10             TE20L10              R20L10                MU20             T2_3L10            RH2_3L10             P2_3L10            TE2_3L10             R2_3L10               MU2_3
    7.2000000000e+00    8.5400852138e+01    8.5300852138e+01    3.1376847316e+00    3.6802872813e+00    3.7528453087e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9813743008e+00   -3.3452708742e+00    1.0791006234e+01   -9.8674458515e+00    1.6348059597e+00    7.3996188644e-01    2.3166402560e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.7528453087e+12    3.7528453087e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.6929440256e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9813743008e+00   -3.3452708742e+00    0.0000000000e+00    4.6332774765e-17    4.6332774765e-17    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.8341268942e-01    0.0000000000e+00    1.0000000000e+00    1.2574360663e+01    5.8567372725e+01   -3.3000000000e+01   -2.1026415874e-01    3.8812355071e+00   -7.5694218878e+00    4.1381798905e+00    3.6804426512e+00    1.2574049923e+01    1.2397659408e+00    3.6806411044e+00   -7.5865344632e+00    3.9156419702e+00    3.6802860175e+00    1.2574363191e+01    1.2527622061e+00
    7.2000000000e+00    1.8136431079e+02    9.5963458656e+01    3.1357816723e+00    3.6804377735e+00    3.7420376184e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9825149752e+00   -3.3412924757e+00    1.0796107094e+01   -9.8622227570e+00    1.6348089317e+00    7.3996188632e-01    2.3166759813e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000001e-01    7.1926088199e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.7420376184e+12    3.7420376184e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.6719052620e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9825149752e+00   -3.3412924757e+00    0.0000000000e+00    4.8439379273e-17    4.8439379273e-17    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.8218420478e-01    0.0000000000e+00    1.0000000000e+00    1.2573108149e+01    5.8564891468e+01   -3.3000000000e+01   -1.9601062305e-01    3.8812480803e+00   -7.5684808891e+00    4.1391294712e+00    3.6805925500e+00    1.2572798596e+01    1.2400980226e+00    3.6806514042e+00   -7.5858360870e+00    3.9163494616e+00    3.6804369024e+00    1.2573109891e+01    1.2528138361e+00
    7.2000000000e+00    2.8932320178e+02    1.0795889099e+02    3.1305029919e+00    3.6808707077e+00    3.7119570328e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9856771339e+00   -3.3295496267e+00    1.0810934827e+01   -9.8461036478e+00    1.6348207419e+00    7.3996188635e-01    2.3166674707e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000001e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.7119570328e+12    3.7119570328e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.6123840775e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9856771339e+00   -3.3295496267e+00    0.0000000000e+00    5.5097028837e-17    5.5097028837e-17    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.3291265290e-01    0.0000000000e+00    1.0000000000e+00    1.2569602940e+01    5.8557793919e+01   -3.3000000000e+01   -1.9053080087e-01    3.8813116086e+00   -7.5659040194e+00    4.1417632314e+00    3.6810238238e+00    1.2569296708e+01    1.2410884795e+00    3.6812674920e+00   -7.5823555414e+00    3.9204551327e+00    3.6808708771e+00    1.2569602602e+01    1.2523269115e+00
    7.2000000000e+00    4.1077695414e+02    1.2145375236e+02    3.1233726726e+00    3.6814510902e+00    3.6717830766e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9899420001e+00   -3.3136134607e+00    1.0831028193e+01   -9.8241384067e+00    1.6348380898e+00    7.3996188632e-01    2.3166748994e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188643e-01    2.5600000002e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.6717830766e+12    3.6717830766e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.5335885800e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9899420001e+00   -3.3136134607e+00    0.0000000000e+00    6.5333955779e-17    6.5333955779e-17    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.0432589189e-01    0.0000000000e+00    1.0000000000e+00    1.2564877016e+01    5.8548215983e+01   -3.3000000000e+01   -1.8831416815e-01    3.8814638048e+00   -7.5624511857e+00    4.1453687049e+00    3.6816020171e+00    1.2564575162e+01    1.2424776462e+00    3.6849747335e+00   -7.5699936583e+00    3.9365398215e+00    3.6814525801e+00    1.2564874036e+01    1.2527756858e+00
    7.2000000000e+00    5.4741242555e+02    1.3663547141e+02    3.1150903995e+00    3.6821284967e+00    3.6256098364e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9949132712e+00   -3.2949465198e+00    1.0854538307e+01   -9.7983258615e+00    1.6348597040e+00    7.3996188618e-01    2.3167170746e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000001e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.6256098364e+12    3.6256098364e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.4438816774e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9949132712e+00   -3.2949465198e+00    0.0000000000e+00    7.9519144794e-17    7.9519144794e-17    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.6831573026e-01    0.0000000000e+00    9.9972036855e-01    1.2544283444e+01    5.8537048060e+01   -3.3000000000e+01   -1.8736499229e-01    3.8817040304e+00   -7.5585548333e+00    4.1495148393e+00    3.6822769506e+00    1.2559084159e+01    1.2441509468e+00    3.6827191056e+00   -7.5731751494e+00    3.9310818418e+00    3.6821267547e+00    1.2559384550e+01    1.2526755253e+00
    7.2000000000e+00    6.9821685918e+02    1.5080443363e+02    3.1060697757e+00    3.6828647886e+00    3.5760054388e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0003369528e+00   -3.2744766307e+00    1.0880290016e+01   -9.7699239687e+00    1.6348849542e+00    7.3996188602e-01    2.3167654172e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188643e-01    2.5600000002e-01    7.1926088198e-04    8.7159180179e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.5760054388e+12    3.5760054388e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.3485721047e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0003369528e+00   -3.2744766307e+00    0.0000000000e+00    9.8570719802e-17    9.8570719802e-17    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9227060683e-01    0.0000000000e+00    9.9302340915e-01    1.2507371230e+01    5.8524829865e+01   -3.3000000000e+01   -1.8676880293e-01    3.8821072498e+00   -7.5543618933e+00    4.1541381390e+00    3.6830106699e+00    1.2553106408e+01    1.2459878672e+00    3.6828658032e+00   -7.5696471158e+00    3.9347519852e+00    3.6828647839e+00    1.2553398180e+01    1.2529238582e+00
    7.2000000000e+00    8.5720777057e+02    1.5899091139e+02    3.0968541872e+00    3.6836188630e+00    3.5259993480e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0058989812e+00   -3.2533765757e+00    1.0906804198e+01   -9.7405492101e+00    1.6349126737e+00    7.3996188591e-01    2.3168005292e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188643e-01    2.5600000004e-01    7.1926088198e-04    8.7159180179e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.5259993480e+12    3.5259993480e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2535516224e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0058989812e+00   -3.2533765757e+00    0.0000000000e+00    1.2268219478e-16    1.2268219478e-16    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0012570601e+00    0.0000000000e+00    9.9056758760e-01    1.2496100031e+01    5.8512291304e+01   -3.3000000000e+01   -1.8621460733e-01    3.8825726738e+00   -7.5500720828e+00    4.1589262092e+00    3.6837621734e+00    1.2546995607e+01    1.2480119144e+00    3.6851143532e+00   -7.5606312844e+00    3.9460266110e+00    3.6836158003e+00    1.2547288353e+01    1.2524540214e+00
    7.2000000000e+00    1.0229651678e+03    1.6575739728e+02    3.0875898794e+00    3.6843770613e+00    3.4764315050e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0115058052e+00   -3.2319951836e+00    1.0933641229e+01   -9.7106810643e+00    1.6349426193e+00    7.3996188576e-01    2.3168441326e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000001e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.4764315050e+12    3.4764315050e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.1604851995e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0115058052e+00   -3.2319951836e+00    0.0000000000e+00    1.5277039020e-16    1.5277039020e-16    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0046035499e+00    0.0000000000e+00    9.7595967596e-01    1.2468933531e+01    5.8499469510e+01   -3.3000000000e+01   -1.9283493984e-01    3.8831588180e+00   -7.5458704931e+00    4.1637501036e+00    3.6845179293e+00    1.2540851941e+01    1.2499755209e+00    3.6847890284e+00   -7.5582165884e+00    3.9481098064e+00    3.6843757437e+00    1.2541136312e+01    1.2527117458e+00
    7.2000000000e+00    1.1953040839e+03    1.7233891601e+02    3.0783333222e+00    3.6851372561e+00    3.4275595501e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0171372958e+00   -3.2104262293e+00    1.0960688276e+01   -9.6804662509e+00    1.6349746521e+00    7.3996188558e-01    2.3168991929e-05    2.5597683360e-01    7.1926088199e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188643e-01    2.5600000004e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.4275595501e+12    3.4275595501e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.0697365054e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0171372958e+00   -3.2104262293e+00    0.0000000000e+00    1.5249819955e-04    1.5249819955e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0064567217e+00    0.0000000000e+00    9.6634094474e-01    1.2453088357e+01    5.8486381615e+01   -3.3000000000e+01   -1.9934650459e-01    3.8838208001e+00   -7.5416880874e+00    4.1686355627e+00    3.6852757400e+00    1.2534708041e+01    1.2520770186e+00    3.6860479035e+00   -7.5517355550e+00    3.9558681453e+00    3.6851376092e+00    1.2534984303e+01    1.2523282814e+00
    7.2000000000e+00    1.3745637216e+03    1.7925963771e+02    3.0691035263e+00    3.6858978143e+00    3.3794731056e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0227838602e+00   -3.1886935161e+00    1.0987911644e+01   -9.6499269243e+00    1.6350088508e+00    7.3996188448e-01    2.3172283228e-05    2.5597683360e-01    7.1926088199e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440001e-05    1.9232020000e-05    1.7600452000e-05    9.6089920001e-07    0.0000000000e+00    7.3996188640e-01    2.5600000013e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    3.3794731056e+12    3.3794731056e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.9813891693e+58    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0227838602e+00   -3.1886935161e+00    0.0000000000e+00    1.9208296059e-04    1.9208296059e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0063949981e+00    0.0000000000e+00    9.5681701251e-01    1.2438799633e+01    5.8473488901e+01   -3.3000000000e+01   -2.0576935673e-01    3.8839215770e+00   -7.5372323594e+00    4.1731834662e+00    3.6860336681e+00    1.2528577287e+01    1.2408778117e+00    3.6871145214e+00   -7.5458619645e+00    3.9627960539e+00    3.6858952143e+00    1.2528854195e+01    1.2524777872e+00
