# Z0.004Y0.256O_IN0.0OUTA1.74_F7_M400.0.UNF 
# M=400.0, Z=0.004, Y=0.256, omega_i=0.0 
                MASS                 AGE               Dtime               LOG_L              LOG_TE               RSTAR                CONV               QSCHW                QHEL              QCAROX              LOG_Tc             LOG_RHc              LOG_Pc               PSI_C              G1_AVG                XCEN               XHE3C                YCEN              XC_CEN              XN_CEN              XO_CEN             XNE_CEN             XMG_CEN           XSI28_CEN            XS32_CEN           XAR36_CEN           XCA40_CEN           XTI44_CEN                RATE                Xsup                Ysup               XCsup             XC13sup               XNsup               XOsup             XO18sup              XNEsup              XMGsup          POLRAD_ENV           EQRAD_ENV             OMG_ENV         ANG_VEL_ENV          TANVEL_ENV         TOT_INERTIA          TOT_ANGMOM        TOT_MOM_LOST              R_CONV                RHEL             R_CAROX         INERTIA_HEL          ANGMOM_HEL       INERTIA_CAROX        ANGMOM_CAROX                TMAX              RHTMAX               QTMAX                LNUC                  LX                  LY                  LC              LNEUTR              L_GRAV               L_ACC               Q_CNV            DPTH_CNV         INERTIA_CNV          ANGMOM_CNV             TCNV_YR              T20L10             RH20L10              P20L10             TE20L10              R20L10                MU20             T2_3L10            RH2_3L10             P2_3L10            TE2_3L10             R2_3L10               MU2_3
    4.0000000000e+02    1.1612037527e+01    1.1512037527e+01    6.7018767789e+00    3.8189119840e+00    1.2000719406e+14    6.1887276295e-01    5.7457581821e-01    0.0000000000e+00    0.0000000000e+00    5.9823671880e+00   -5.1244788824e+00    9.4968464121e+00   -1.3967521154e+01    1.3899801134e+00    7.3996188644e-01    2.3166402560e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.2000719406e+14    1.2000719406e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.5206007576e+62    0.0000000000e+00    0.0000000000e+00    1.3555956508e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9823671880e+00   -5.1244788824e+00    0.0000000000e+00    1.1558836792e-20    1.1558836792e-20    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -2.1324450537e-01    0.0000000000e+00    1.9201000540e-01    1.3857830458e+01    6.2586658023e+01   -3.3000000000e+01    4.0210864757e-01    3.9182339261e+00   -9.4386472194e+00    2.4012745705e+00    3.8190212204e+00    1.4078988809e+01    1.0993983875e+00    3.8191136411e+00   -9.4394437891e+00    2.2209393593e+00    3.8189109611e+00    1.4079209327e+01    1.2191744757e+00
    4.0000000000e+02    2.3131440198e+01    1.1519402671e+01    6.7018586988e+00    3.8245160184e+00    1.1694729275e+14    6.0464486698e-01    5.5452368038e-01    0.0000000000e+00    0.0000000000e+00    6.0014836593e+00   -5.0660728665e+00    9.5736481767e+00   -1.3899067988e+01    1.3899889555e+00    7.3996188644e-01    2.3166402666e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.1694729275e+14    1.1694729275e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.9467627811e+62    0.0000000000e+00    0.0000000000e+00    1.3529401441e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0014836593e+00   -5.0660728665e+00    0.0000000000e+00    2.1739944705e-20    2.1739944705e-20    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.6358971171e-01    0.0000000000e+00    1.9201000540e-01    1.3850542740e+01    6.2554708766e+01   -3.3000000000e+01    3.9881332861e-01    3.9218230310e+00   -9.4930367598e+00    2.3630503554e+00    3.8246298634e+00    1.4067762483e+01    1.1114747199e+00    3.8263438154e+00   -9.4931670227e+00    2.1788502516e+00    3.8245135295e+00    1.4067995151e+01    1.1892981095e+00
    4.0000000000e+02    3.4952737738e+01    1.1821297540e+01    6.7052472919e+00    3.8321767498e+00    1.1333472793e+14    5.8611076977e-01    5.4455233048e-01    0.0000000000e+00    0.0000000000e+00    6.0291395358e+00   -4.9818679369e+00    9.6846657691e+00   -1.3800709758e+01    1.3900054400e+00    7.3996188644e-01    2.3166402785e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.1333472793e+14    1.1333472793e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.2028274051e+62    0.0000000000e+00    0.0000000000e+00    1.3491953000e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0291395358e+00   -4.9818679369e+00    0.0000000000e+00    5.2841967418e-20    5.2841967418e-20    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.4069469230e-01    0.0000000000e+00    1.8740774853e-01    1.3841828309e+01    6.2503778836e+01   -3.3000000000e+01    3.9386468793e-01    3.9269553528e+00   -9.5743996753e+00    2.3072328322e+00    3.8322993989e+00    1.4054117708e+01    1.0319359740e+00    3.8350757654e+00   -9.5744506989e+00    2.1139161180e+00    3.8321737073e+00    1.4054369091e+01    1.1614430714e+00
    4.0000000000e+02    4.7056035612e+01    1.2103297874e+01    6.7118260334e+00    3.8397242544e+00    1.1029539182e+14    5.8230096240e-01    5.3778107311e-01    0.0000000000e+00    0.0000000000e+00    6.0593859266e+00   -4.8899154782e+00    9.8060385550e+00   -1.3693462682e+01    1.3900273876e+00    7.3996188644e-01    2.3166403179e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.1029539182e+14    1.1029539182e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.4920720111e+62    0.0000000000e+00    0.0000000000e+00    1.3459959735e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0593859266e+00   -4.8899154782e+00    0.0000000000e+00    1.3580734529e-19    1.3580734529e-19    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.4499161950e-01    0.0000000000e+00    1.7709357468e-01    1.3834039993e+01    6.2442371468e+01   -3.3000000000e+01    3.8121163992e-01    3.9324776860e+00   -9.6638509621e+00    2.2479469514e+00    3.8398593603e+00    1.4042287156e+01    1.0602417438e+00    3.8413115817e+00   -9.6639153324e+00    2.0396401719e+00    3.8397218982e+00    1.4042562080e+01    1.1548006060e+00
    4.0000000000e+02    5.9305881327e+01    1.2249845715e+01    6.7209846437e+00    3.8463094591e+00    1.0813499481e+14    5.8611076977e-01    5.3778107311e-01    0.0000000000e+00    0.0000000000e+00    6.0898205063e+00   -4.7975214317e+00    9.9281256141e+00   -1.3585849888e+01    1.3900526297e+00    7.3996188644e-01    2.3166404302e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0813499481e+14    1.0813499481e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.8695585901e+62    0.0000000000e+00    0.0000000000e+00    1.3431940404e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0898205063e+00   -4.7975214317e+00    0.0000000000e+00    3.4300006470e-19    3.4300006470e-19    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.8285573637e-01    0.0000000000e+00    1.6466217758e-01    1.3829709958e+01    6.2378722583e+01   -3.3000000000e+01    3.6803334144e-01    3.9378669949e+00   -9.7511550292e+00    2.1922892804e+00    3.8464598884e+00    1.4033665405e+01    1.0736066849e+00    3.8480713121e+00   -9.7517272994e+00    1.9700177076e+00    3.8463069457e+00    1.4033971290e+01    1.1303339642e+00
    4.0000000000e+02    7.1539730239e+01    1.2233848913e+01    6.7320261183e+00    3.8515800180e+00    1.0689216741e+14    5.8611076977e-01    5.3778107311e-01    0.0000000000e+00    0.0000000000e+00    6.1193891910e+00   -4.7078792864e+00    1.0046700425e+01   -1.3481583042e+01    1.3900807012e+00    7.3996188644e-01    2.3166407255e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0689216741e+14    1.0689216741e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.3415183207e+62    0.0000000000e+00    0.0000000000e+00    1.3402646497e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1193891910e+00   -4.7078792864e+00    0.0000000000e+00    8.2367018707e-19    8.2367018707e-19    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9648011247e-01    0.0000000000e+00    1.5310342442e-01    1.3830397004e+01    6.2318683717e+01   -3.3000000000e+01    3.5059337843e-01    3.9427534759e+00   -9.8303658663e+00    2.1436867665e+00    3.8517472351e+00    1.4028611449e+01    9.0551663605e-01    3.8562675125e+00   -9.8332037892e+00    1.9117725528e+00    3.8515756408e+00    1.4028954638e+01    1.1592111652e+00
    4.0000000000e+02    8.3605138411e+01    1.2065408172e+01    6.7442543525e+00    3.8554589235e+00    1.0648837240e+14    5.8611076977e-01    5.4117919287e-01    0.0000000000e+00    0.0000000000e+00    6.1476540099e+00   -4.6223146719e+00    1.0160006955e+01   -1.3382203830e+01    1.3901109599e+00    7.3996188644e-01    2.3166414525e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0648837240e+14    1.0648837240e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.8977913505e+62    0.0000000000e+00    0.0000000000e+00    1.3374609426e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1476540099e+00   -4.6223146719e+00    0.0000000000e+00    1.8667228037e-18    1.8667228037e-18    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0015322496e+00    0.0000000000e+00    1.4007213347e-01    1.3833730597e+01    6.2258548648e+01   -3.3000000000e+01    3.3311506926e-01    3.9471022728e+00   -9.8965491871e+00    2.1049513942e+00    3.8556435424e+00    1.4026932951e+01    9.7810841526e-01    3.8558266503e+00   -9.8966509903e+00    1.8548916391e+00    3.8554575279e+00    1.4027304980e+01    1.1269422991e+00
    4.0000000000e+02    9.5380045213e+01    1.1774906802e+01    6.7570313421e+00    3.8579687863e+00    1.0682452207e+14    5.8611076977e-01    5.4117919287e-01    0.0000000000e+00    0.0000000000e+00    6.1744062113e+00   -4.5414475905e+00    1.0267211922e+01   -1.3288419692e+01    1.3901432858e+00    7.3996188643e-01    2.3166431026e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0682452207e+14    1.0682452207e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.5258085260e+62    0.0000000000e+00    0.0000000000e+00    1.3348038084e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1744062113e+00   -4.5414475905e+00    0.0000000000e+00    3.9840889862e-18    3.9840889862e-18    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0032993792e+00    0.0000000000e+00    1.2814999174e-01    1.3840592685e+01    6.2202670116e+01   -3.3000000000e+01    3.0955696801e-01    3.9503276626e+00   -9.9473326274e+00    2.0752744176e+00    3.8581688490e+00    1.4028270833e+01    9.2331539867e-01    3.8588261649e+00   -9.9478231547e+00    1.8166089774e+00    3.8579667691e+00    1.4028674993e+01    1.0996034808e+00
    4.0000000000e+02    1.0677760081e+02    1.1397555601e+01    6.7695207696e+00    3.8591752829e+00    1.0777119017e+14    5.8988582812e-01    5.4455233048e-01    0.0000000000e+00    0.0000000000e+00    6.1995573408e+00   -4.4655243261e+00    1.0367967592e+01   -1.3200490386e+01    1.3901769578e+00    7.3996188642e-01    2.3166465831e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0777119017e+14    1.0777119017e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.2141174143e+62    0.0000000000e+00    0.0000000000e+00    1.3325144398e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1995573408e+00   -4.4655243261e+00    0.0000000000e+00    9.4933629813e-06    9.4933629813e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0042733838e+00    0.0000000000e+00    1.2025742037e-01    1.3852494961e+01    6.2158578258e+01   -3.3000000000e+01    3.0030747536e-01    3.9521278381e+00   -9.9793808260e+00    2.0559768388e+00    3.8593866298e+00    1.4032079985e+01    9.8223199103e-01    3.8592376817e+00   -9.9793692014e+00    1.7904308464e+00    3.8591744578e+00    1.4032504329e+01    1.1265919467e+00
    4.0000000000e+02    1.1775477540e+02    1.0977174587e+01    6.7812482862e+00    3.8591875844e+00    1.0922997500e+14    5.9362645439e-01    5.4790066962e-01    0.0000000000e+00    0.0000000000e+00    6.2230942463e+00   -4.3945618576e+00    1.0462228602e+01   -1.3118407559e+01    1.3902110660e+00    7.3996188638e-01    2.3166578566e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0922997500e+14    1.0922997500e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.9529519247e+62    0.0000000000e+00    0.0000000000e+00    1.3303817871e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.2230942463e+00   -4.3945618576e+00    0.0000000000e+00    1.8967275286e-05    1.8967275286e-05    9.2070148568e-98    0.0000000000e+00    0.0000000000e+00    1.0041683202e+00    0.0000000000e+00    1.1090478503e-01    1.3864361591e+01    6.2113370146e+01   -3.3000000000e+01    2.7947514620e-01    3.9522288402e+00   -9.9931924979e+00    2.0456415640e+00    3.8594043955e+00    1.4037908212e+01    9.3936511274e-01    3.8611837385e+00   -9.9947824474e+00    1.7815660562e+00    3.8591845446e+00    1.4038347914e+01    1.0677587368e+00
