# Z0.004Y0.256O_IN0.0OUTA1.74_F71_M2.80.UNF 
# M=2.8, Z=0.004, Y=0.256, omega_i=0.0 
                MASS                 AGE               Dtime               LOG_L              LOG_TE               RSTAR                CONV               QSCHW                QHEL              QCAROX              LOG_Tc             LOG_RHc              LOG_Pc               PSI_C              G1_AVG                XCEN               XHE3C                YCEN              XC_CEN              XN_CEN              XO_CEN             XNE_CEN             XMG_CEN           XSI28_CEN            XS32_CEN           XAR36_CEN           XCA40_CEN           XTI44_CEN                RATE                Xsup                Ysup               XCsup             XC13sup               XNsup               XOsup             XO18sup              XNEsup              XMGsup          POLRAD_ENV           EQRAD_ENV             OMG_ENV         ANG_VEL_ENV          TANVEL_ENV         TOT_INERTIA          TOT_ANGMOM        TOT_MOM_LOST              R_CONV                RHEL             R_CAROX         INERTIA_HEL          ANGMOM_HEL       INERTIA_CAROX        ANGMOM_CAROX                TMAX              RHTMAX               QTMAX                LNUC                  LX                  LY                  LC              LNEUTR              L_GRAV               L_ACC               Q_CNV            DPTH_CNV         INERTIA_CNV          ANGMOM_CNV             TCNV_YR              T20L10             RH20L10              P20L10             TE20L10              R20L10                MU20             T2_3L10            RH2_3L10             P2_3L10            TE2_3L10             R2_3L10               MU2_3
    2.8000000000e+00    1.6511572302e+02    1.6501572302e+02    2.3732684934e+00    3.6808713610e+00    1.5523311941e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9811999398e+00   -2.6281075938e+00    1.1495125803e+01   -8.2155477223e+00    1.6601677118e+00    7.3996188644e-01    2.3166402560e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.5523311941e+12    1.5523311941e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4390665354e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9811999398e+00   -2.6281075938e+00    0.0000000000e+00    4.5798821010e-16    4.5798821010e-16    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.8241383144e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8788939280e+00   -7.3474476917e+00    4.3564912975e+00    3.6810538281e+00    1.2190619451e+01    1.2467609441e+00    3.6830009795e+00   -7.3842772728e+00    4.1201998282e+00    3.6808723609e+00    1.2190982385e+01    1.2526748592e+00
    2.8000000000e+00    3.5075841142e+02    1.8564268840e+02    2.3715639774e+00    3.6809964236e+00    1.5483958603e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9822722683e+00   -2.6248883560e+00    1.1499418195e+01   -8.2118375589e+00    1.6601708194e+00    7.3996188479e-01    2.3171355205e-05    2.5597683360e-01    7.1926088199e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440001e-05    1.9232020000e-05    1.7600452000e-05    9.6089920001e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.5483958603e+12    1.5483958603e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4270450233e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9822722683e+00   -2.6248883560e+00    0.0000000000e+00    4.7636437066e-16    4.7636437066e-16    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.7300312335e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8789601453e+00   -7.3466102688e+00    4.3573971993e+00    3.6811783415e+00    1.2189518166e+01    1.2469689224e+00    3.6839087890e+00   -7.3811732982e+00    4.1242103148e+00    3.6809977884e+00    1.2189879272e+01    1.2528230282e+00
    2.8000000000e+00    5.5960643587e+02    2.0884802445e+02    2.3664781932e+00    3.6813546031e+00    1.5368191034e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9854580614e+00   -2.6153302458e+00    1.1512162952e+01   -8.2008304488e+00    1.6601798006e+00    7.3996188452e-01    2.3172183657e-05    2.5597683360e-01    7.1926088199e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440001e-05    1.9232020000e-05    1.7600452000e-05    9.6089920001e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.5368191034e+12    1.5368191034e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.3916873116e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9854580614e+00   -2.6153302458e+00    0.0000000000e+00    5.3715355947e-16    5.3715355947e-16    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    7.3456915981e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8791190780e+00   -7.3440935692e+00    4.3600762072e+00    3.6815349074e+00    1.2186262142e+01    1.2475808859e+00    3.6823842048e+00   -7.3835637862e+00    4.1202702097e+00    3.6813518791e+00    1.2186628198e+01    1.2526665811e+00
    2.8000000000e+00    7.9456046337e+02    2.3495402751e+02    2.3595717687e+00    3.6818322832e+00    1.5212975923e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9897653680e+00   -2.6024081798e+00    1.1529393496e+01   -8.1859504370e+00    1.6601914993e+00    7.3996188403e-01    2.3173658564e-05    2.5597683360e-01    7.1926088199e-04    1.9404596159e-04    1.7598808534e-03    4.0388508336e-04    1.7717828000e-04    1.9099296000e-04    8.8870440001e-05    1.9232020000e-05    1.7600452000e-05    9.6089920001e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.5212975923e+12    1.5212975923e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.3447014217e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9897653680e+00   -2.6024081798e+00    0.0000000000e+00    6.3070904295e-16    6.3070904295e-16    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.0592460841e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8794036359e+00   -7.3406853902e+00    4.3637795075e+00    3.6820105188e+00    1.2181857707e+01    1.2483068813e+00    3.6821063816e+00   -7.3817286894e+00    4.1218211267e+00    3.6818311872e+00    1.2182216370e+01    1.2529344327e+00
    2.8000000000e+00    1.0588837443e+03    2.6432328094e+02    2.3515015540e+00    3.6823899632e+00    1.5033624915e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.9947989514e+00   -2.5873077764e+00    1.1549528795e+01   -8.1685626723e+00    1.6602045721e+00    7.3996188329e-01    2.3175864106e-05    2.5597683360e-01    7.1926088200e-04    1.9404596159e-04    1.7598808534e-03    4.0388508336e-04    1.7717828000e-04    1.9099296000e-04    8.8870440002e-05    1.9232020000e-05    1.7600452000e-05    9.6089920002e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.5033624915e+12    1.5033624915e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.2909624423e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9947989514e+00   -2.5873077764e+00    0.0000000000e+00    7.6158704526e-16    7.6158704526e-16    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.6985835608e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8797549218e+00   -7.3366741672e+00    4.3681557846e+00    3.6825658153e+00    1.2176712006e+01    1.2491898931e+00    3.6840077441e+00   -7.3735139255e+00    4.1319674805e+00    3.6823906962e+00    1.2177062245e+01    1.2525562453e+00
    2.8000000000e+00    1.3548100971e+03    2.9592635279e+02    2.3425561966e+00    3.6830101850e+00    1.4837153446e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0003831346e+00   -2.5705556518e+00    1.1571866574e+01   -8.1492731044e+00    1.6602183573e+00    7.3996188225e-01    2.3178983263e-05    2.5597683360e-01    7.1926088200e-04    1.9404596159e-04    1.7598808535e-03    4.0388508336e-04    1.7717828000e-04    1.9099296000e-04    8.8870440002e-05    1.9232020000e-05    1.7600452000e-05    9.6089920002e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.4837153446e+12    1.4837153446e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.2327857810e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0003831346e+00   -2.5705556518e+00    0.0000000000e+00    9.3511520031e-16    9.3511520031e-16    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9377057690e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8801334134e+00   -7.3322302374e+00    4.3729921366e+00    3.6831834201e+00    1.2171004118e+01    1.2502236651e+00    3.6838871724e+00   -7.3705860200e+00    4.1347505682e+00    3.6830078042e+00    1.2171355350e+01    1.2526941982e+00
    2.8000000000e+00    1.6681810601e+03    3.1337096303e+02    2.3333095851e+00    3.6836463194e+00    1.4637099118e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0061470550e+00   -2.5532644448e+00    1.1594923158e+01   -8.1293630597e+00    1.6602318493e+00    7.3996188108e-01    2.3182515037e-05    2.5597683361e-01    7.1926088200e-04    1.9404596159e-04    1.7598808535e-03    4.0388508336e-04    1.7717828001e-04    1.9099296001e-04    8.8870440003e-05    1.9232020001e-05    1.7600452001e-05    9.6089920003e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.4637099118e+12    1.4637099118e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.1742864091e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0061470550e+00   -2.5532644448e+00    0.0000000000e+00    1.1565070287e-15    1.1565070287e-15    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0027297763e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8805843290e+00   -7.3276664065e+00    4.3780261756e+00    3.6838169588e+00    1.2165113735e+01    1.2512379684e+00    3.6836993174e+00   -7.3676117549e+00    4.1375297298e+00    3.6836460413e+00    1.2165455570e+01    1.2530654269e+00
    2.8000000000e+00    1.9943183264e+03    3.2613726631e+02    2.3239754298e+00    3.6842845064e+00    1.4438150421e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0119595538e+00   -2.5358276570e+00    1.1618173779e+01   -8.1092857836e+00    1.6602447798e+00    7.3996187966e-01    2.3186793223e-05    2.5597683361e-01    7.1926088201e-04    1.9404596160e-04    1.7598808535e-03    4.0388508337e-04    1.7717828001e-04    1.9099296001e-04    8.8870440004e-05    1.9232020001e-05    1.7600452001e-05    9.6089920004e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.4438150421e+12    1.4438150421e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.1168468828e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0119595538e+00   -2.5358276570e+00    0.0000000000e+00    1.4291988937e-15    1.4291988937e-15    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0060856963e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8810195245e+00   -7.3230217917e+00    4.3831179323e+00    3.6844525248e+00    1.2159175525e+01    1.2429446097e+00    3.6882139868e+00   -7.3519083080e+00    4.1577702705e+00    3.6842862150e+00    1.2159508145e+01    1.2529923296e+00
    2.8000000000e+00    2.3320879664e+03    3.3776963999e+02    2.3146302127e+00    3.6849215699e+00    1.4241798162e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0177762065e+00   -2.5183786024e+00    1.1641440858e+01   -8.0891946404e+00    1.6602570775e+00    7.3996187789e-01    2.3192104903e-05    2.5597683361e-01    7.1926088202e-04    1.9404596160e-04    1.7598808535e-03    4.0388508337e-04    1.7717828001e-04    1.9099296001e-04    8.8870440004e-05    1.9232020001e-05    1.7600452001e-05    9.6089920005e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.4241798162e+12    1.4241798162e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0608860635e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0177762065e+00   -2.5183786024e+00    0.0000000000e+00    1.4059905704e-03    1.4059905704e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0066849431e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8811813917e+00   -7.3183139973e+00    4.3879829971e+00    3.6850868640e+00    1.2153234238e+01    1.2438508121e+00    3.6852363962e+00   -7.3564646985e+00    4.1502170453e+00    3.6849204230e+00    1.2153567120e+01    1.2528923095e+00
    2.8000000000e+00    2.6816907058e+03    3.4960273941e+02    2.3052925214e+00    3.6855572336e+00    1.4048328483e+12    9.8000000000e-01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.0235879404e+00   -2.5009442825e+00    1.1664688237e+01   -8.0691205344e+00    1.6602687723e+00    7.3996186713e-01    2.3224448551e-05    2.5597683363e-01    7.1926088206e-04    1.9404596161e-04    1.7598808536e-03    4.0388508340e-04    1.7717828002e-04    1.9099296002e-04    8.8870440010e-05    1.9232020002e-05    1.7600452002e-05    9.6089920011e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.4048328483e+12    1.4048328483e+12    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0064505833e+57    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0235879404e+00   -2.5009442825e+00    0.0000000000e+00    1.7564021899e-03    1.7564021899e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0063134355e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01    0.0000000000e+00    3.8814278712e+00   -7.3135899719e+00    4.3929568604e+00    3.6857198989e+00    1.2147299323e+01    1.2447440223e+00    3.6875739391e+00   -7.3466565136e+00    4.1623958237e+00    3.6855580834e+00    1.2147622954e+01    1.2525891455e+00
