# Z0.004Y0.256O_IN0.0OUTA1.74_F71_M290.0.UNF 
# M=290.0, Z=0.004, Y=0.256, omega_i=0.0 
                MASS                 AGE               Dtime               LOG_L              LOG_TE               RSTAR                CONV               QSCHW                QHEL              QCAROX              LOG_Tc             LOG_RHc              LOG_Pc               PSI_C              G1_AVG                XCEN               XHE3C                YCEN              XC_CEN              XN_CEN              XO_CEN             XNE_CEN             XMG_CEN           XSI28_CEN            XS32_CEN           XAR36_CEN           XCA40_CEN           XTI44_CEN                RATE                Xsup                Ysup               XCsup             XC13sup               XNsup               XOsup             XO18sup              XNEsup              XMGsup          POLRAD_ENV           EQRAD_ENV             OMG_ENV         ANG_VEL_ENV          TANVEL_ENV         TOT_INERTIA          TOT_ANGMOM        TOT_MOM_LOST              R_CONV                RHEL             R_CAROX         INERTIA_HEL          ANGMOM_HEL       INERTIA_CAROX        ANGMOM_CAROX                TMAX              RHTMAX               QTMAX                LNUC                  LX                  LY                  LC              LNEUTR              L_GRAV               L_ACC               Q_CNV            DPTH_CNV         INERTIA_CNV          ANGMOM_CNV             TCNV_YR              T20L10             RH20L10              P20L10             TE20L10              R20L10                MU20             T2_3L10            RH2_3L10             P2_3L10            TE2_3L10             R2_3L10               MU2_3
    2.9000000000e+02    1.1601542204e+01    1.1501542204e+01    6.4942379874e+00    3.8031232846e+00    1.0161674620e+14    5.7065983281e-01    5.2393505162e-01    0.0000000000e+00    0.0000000000e+00    5.9641423423e+00   -5.0869216451e+00    9.4553637688e+00   -1.3818096355e+01    1.3993966102e+00    7.3996188644e-01    2.3166402560e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    1.0161674620e+14    1.0161674620e+14    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.1473212853e+62    0.0000000000e+00    0.0000000000e+00    1.3469525621e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9641423423e+00   -5.0869216451e+00    0.0000000000e+00    9.0114792031e-21    9.0114792031e-21    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -2.1436426463e-01    0.0000000000e+00    2.0155635372e-01    1.3781029999e+01    6.2340741644e+01   -3.3000000000e+01    3.5886925787e-01    3.9094111384e+00   -9.2425115031e+00    2.5568233990e+00    3.8032310318e+00    1.4006749790e+01    1.1293260773e+00    3.8076779606e+00   -9.2434557614e+00    2.3973535205e+00    3.8031183897e+00    1.4006975074e+01    1.2357197231e+00
    2.9000000000e+02    2.3103084409e+01    1.1501542204e+01    6.4940318505e+00    3.8078798678e+00    9.9391455286e+13    5.5122439260e-01    4.9869902510e-01    0.0000000000e+00    0.0000000000e+00    5.9811441800e+00   -5.0346899758e+00    9.5238194395e+00   -1.3756553894e+01    1.3994055000e+00    7.3996188644e-01    2.3166402631e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.9391455286e+13    9.9391455286e+13    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.8684549967e+62    0.0000000000e+00    0.0000000000e+00    1.3442235340e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    5.9811441800e+00   -5.0346899758e+00    0.0000000000e+00    1.6033113555e-20    1.6033113555e-20    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.5563243559e-01    0.0000000000e+00    2.0155635372e-01    1.3775063375e+01    6.2312825814e+01   -3.3000000000e+01    3.5570928898e-01    3.9123516818e+00   -9.2831269747e+00    2.5263619303e+00    3.8079897594e+00    1.3997129267e+01    1.1818875455e+00    3.8101758927e+00   -9.2842336146e+00    2.3604511150e+00    3.8078768204e+00    1.3997355144e+01    1.2133072550e+00
    2.9000000000e+02    3.4604626613e+01    1.1501542204e+01    6.4974118509e+00    3.8143469941e+00    9.6851153440e+13    5.3090914572e-01    4.7985832589e-01    0.0000000000e+00    0.0000000000e+00    6.0056513817e+00   -4.9597072215e+00    9.6223835835e+00   -1.3668551510e+01    1.3994224884e+00    7.3996188644e-01    2.3166402700e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.6851153440e+13    9.6851153440e+13    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.5046026665e+62    0.0000000000e+00    0.0000000000e+00    1.3406890801e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0056513817e+00   -4.9597072215e+00    0.0000000000e+00    3.5728851520e-20    3.5728851520e-20    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.4041514592e-01    0.0000000000e+00    1.9672528197e-01    1.3768214775e+01    6.2267862413e+01   -3.3000000000e+01    3.4869693863e-01    3.9162984618e+00   -9.3425960283e+00    2.4819640514e+00    3.8144609652e+00    1.3985876855e+01    1.0851346738e+00    3.8143796318e+00   -9.3440681332e+00    2.3072715400e+00    3.8143463314e+00    1.3986106123e+01    1.2297114527e+00
    2.9000000000e+02    4.6618232625e+01    1.2013606012e+01    6.5040936905e+00    3.8211643309e+00    9.4582555417e+13    5.2040921827e-01    4.7212524615e-01    0.0000000000e+00    0.0000000000e+00    6.0332117829e+00   -4.8755422692e+00    9.7331699312e+00   -1.3569955507e+01    1.3994465806e+00    7.3996188644e-01    2.3166402917e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.4582555417e+13    9.4582555417e+13    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.1431954747e+62    0.0000000000e+00    0.0000000000e+00    1.3373777540e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0332117829e+00   -4.8755422692e+00    0.0000000000e+00    8.5640223213e-20    8.5640223213e-20    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.4486153268e-01    0.0000000000e+00    1.8892944498e-01    1.3762831777e+01    6.2215993273e+01   -3.3000000000e+01    3.4280627907e-01    3.9204333021e+00   -9.4112431927e+00    2.4311825296e+00    3.8212840430e+00    1.3975571619e+01    1.0871266394e+00    3.8235521230e+00   -9.4114353887e+00    2.2536392853e+00    3.8211612527e+00    1.3975817200e+01    1.1919140945e+00
    2.9000000000e+02    5.8732169303e+01    1.2113936678e+01    6.5134306897e+00    3.8273086405e+00    9.2937486721e+13    5.2040921827e-01    4.6821569889e-01    0.0000000000e+00    0.0000000000e+00    6.0610426623e+00   -4.7907037549e+00    9.8449886188e+00   -1.3470745031e+01    1.3994754458e+00    7.3996188644e-01    2.3166403500e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.2937486721e+13    9.2937486721e+13    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.8223405128e+62    0.0000000000e+00    0.0000000000e+00    1.3346129699e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0610426623e+00   -4.7907037549e+00    0.0000000000e+00    2.0257886171e-19    2.0257886171e-19    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.8279850542e-01    0.0000000000e+00    1.7709357468e-01    1.3759121126e+01    6.2159658094e+01   -3.3000000000e+01    3.2541216770e-01    3.9242813907e+00   -9.4786679760e+00    2.3822803080e+00    3.8274357518e+00    1.3967936701e+01    1.0743196320e+00    3.8307874252e+00   -9.4786934413e+00    2.1987481640e+00    3.8273049937e+00    1.3968198217e+01    1.1701492439e+00
    2.9000000000e+02    7.0798310963e+01    1.2066141660e+01    6.5248339407e+00    3.8324377415e+00    9.1967492868e+13    5.2040921827e-01    4.6821569889e-01    0.0000000000e+00    0.0000000000e+00    6.0882007378e+00   -4.7080650705e+00    9.9540502461e+00   -1.3374276848e+01    1.3995085431e+00    7.3996188644e-01    2.3166404934e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.1967492868e+13    9.1967492868e+13    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.5463303753e+62    0.0000000000e+00    0.0000000000e+00    1.3319137759e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.0882007378e+00   -4.7080650705e+00    0.0000000000e+00    4.5886359099e-19    4.5886359099e-19    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.9644493100e-01    0.0000000000e+00    1.6333593724e-01    1.3758027178e+01    6.2102343889e+01   -3.3000000000e+01    3.0468191744e-01    3.9276118829e+00   -9.5405812636e+00    2.3380521005e+00    3.8325731603e+00    1.3963363510e+01    1.0650712138e+00    3.8361673151e+00   -9.5407167377e+00    2.1473990837e+00    3.8324339434e+00    1.3963641944e+01    1.1543567073e+00
    2.9000000000e+02    8.2675720880e+01    1.1877409917e+01    6.5376085019e+00    3.8364215367e+00    9.1633449897e+13    5.2040921827e-01    4.6821569889e-01    0.0000000000e+00    0.0000000000e+00    6.1142869288e+00   -4.6288392527e+00    1.0058752377e+01   -1.3281964695e+01    1.3995441290e+00    7.3996188644e-01    2.3166408249e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.1633449897e+13    9.1633449897e+13    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.3110870305e+62    0.0000000000e+00    0.0000000000e+00    1.3293190749e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1142869288e+00   -4.6288392527e+00    0.0000000000e+00    9.8865018680e-19    9.8865018680e-19    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0015151464e+00    0.0000000000e+00    1.5187028187e-01    1.3761767621e+01    6.2050749371e+01   -3.3000000000e+01    2.8989915336e-01    3.9303546110e+00   -9.5949151592e+00    2.2996204968e+00    3.8365656943e+00    1.3961765722e+01    1.0705732422e+00    3.8375459632e+00   -9.5948318202e+00    2.0983960511e+00    3.8364192567e+00    1.3962058598e+01    1.1715819288e+00
    2.9000000000e+02    9.4250893964e+01    1.1575173083e+01    6.5511312216e+00    3.8392595981e+00    9.1862714530e+13    5.2040921827e-01    4.7212524615e-01    0.0000000000e+00    0.0000000000e+00    6.1390995209e+00   -4.5536272304e+00    1.0158289313e+01   -1.3194496340e+01    1.3995815041e+00    7.3996188644e-01    2.3166415412e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.1862714530e+13    9.1862714530e+13    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.1111591180e+62    0.0000000000e+00    0.0000000000e+00    1.3268489634e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1390995209e+00   -4.5536272304e+00    0.0000000000e+00    2.0210416430e-18    2.0210416430e-18    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0032939745e+00    0.0000000000e+00    1.4120947848e-01    1.3768716515e+01    6.2002863458e+01   -3.3000000000e+01    2.6981318343e-01    3.9323544022e+00   -9.6389024828e+00    2.2684307476e+00    3.8394119592e+00    1.3962834552e+01    1.1100941629e+00    3.8405522893e+00   -9.6388848442e+00    2.0617491902e+00    3.8392571345e+00    1.3963144202e+01    1.1610856222e+00
    2.9000000000e+02    1.0544319898e+02    1.1192305013e+01    6.5649261950e+00    3.8410158481e+00    9.2581510312e+13    5.2393505162e-01    4.7212524615e-01    0.0000000000e+00    0.0000000000e+00    6.1625546807e+00   -4.4826635852e+00    1.0252331596e+01   -1.3112123794e+01    1.3996204865e+00    7.3996188643e-01    2.3166429903e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.2581510312e+13    9.2581510312e+13    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.9411882889e+62    0.0000000000e+00    0.0000000000e+00    1.3247095070e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1625546807e+00   -4.4826635852e+00    0.0000000000e+00    4.3033247283e-06    4.3033247283e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0041500306e+00    0.0000000000e+00    1.3236312278e-01    1.3779005087e+01    6.1960687805e+01   -3.3000000000e+01    2.5872459681e-01    3.9335300131e+00   -9.6717427209e+00    2.2445266431e+00    3.8411750856e+00    1.3966205786e+01    1.0116853871e+00    3.8453666704e+00   -9.6726264433e+00    2.0380611207e+00    3.8410115602e+00    1.3966532837e+01    1.1210560743e+00
    2.9000000000e+02    1.1620139806e+02    1.0758199088e+01    6.5785780973e+00    3.8417961833e+00    9.3710777688e+13    5.2743496392e-01    4.7600605138e-01    0.0000000000e+00    0.0000000000e+00    6.1846169489e+00   -4.4160339999e+00    1.0340744879e+01   -1.3034921598e+01    1.3996605715e+00    7.3996188642e-01    2.3166477208e-05    2.5597683360e-01    7.1926088198e-04    1.9404596159e-04    1.7598808534e-03    4.0388508335e-04    1.7717828000e-04    1.9099296000e-04    8.8870440000e-05    1.9232020000e-05    1.7600452000e-05    9.6089920000e-07    0.0000000000e+00    7.3996188644e-01    2.5600000000e-01    7.1926088198e-04    8.7159180180e-06    1.9404596159e-04    1.7598808534e-03    3.9691745865e-06    4.0388508335e-04    1.7717828000e-04    9.3710777688e+13    9.3710777688e+13    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.7965051355e+62    0.0000000000e+00    0.0000000000e+00    1.3227059689e+01    0.0000000000e+00    0.0000000000e+00   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01   -3.3000000000e+01    6.1846169489e+00   -4.4160339999e+00    0.0000000000e+00    8.3128908390e-06    8.3128908390e-06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0038918822e+00    0.0000000000e+00    1.2407096507e-01    1.3791026918e+01    6.1921983102e+01   -3.3000000000e+01    2.4136880023e-01    3.9340684435e+00   -9.6938280160e+00    2.2278086803e+00    3.8419609725e+00    1.3971459964e+01    9.4962411875e-01    3.8441449811e+00   -9.6941958576e+00    2.0161503428e+00    3.8417928676e+00    1.3971796173e+01    1.1381997467e+00
