# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed May  6 22:05:05 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.06 0.69525 9.30103 0.1000000015 1.1711064122    0.100 -3.262  3.3617  5.099    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.14e-17      0.00 5.837e-01 3.563e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.925 21.357 19.335 17.679 15.701 13.524 10.819 10.239 9.887
0.06 0.69525 9.30103 0.1199999973 1.3193154249    0.120 -3.055  3.3836  5.058    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.46e-17      0.00 5.836e-01 3.564e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.407 20.760 18.785 17.144 15.178 13.006 10.302 9.725 9.369
0.06 0.69525 9.30103 0.1400000006 1.4384526719    0.140 -2.895  3.3992  5.028    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-16      0.00 5.836e-01 3.564e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 12.008 20.299 18.360 16.730 14.773 12.606 9.903 9.328 8.970
0.06 0.69525 9.30103 0.1599999964 1.5372931554    0.160 -2.765  3.4110  5.003    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-16      0.00 5.834e-01 3.566e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.683 19.927 18.015 16.395 14.445 12.281 9.579 9.005 8.645
0.06 0.69525 9.30103 0.2000000030 1.6938790862    0.200 -2.559  3.4287  4.965    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.56e-16      0.00 5.833e-01 3.567e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 11.167 18.754 17.042 15.479 13.663 11.590 9.085 8.514 8.161
0.06 0.69525 9.30103 0.2189398110 1.7544438354    0.219 -2.471  3.4374  4.951    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.04e-16      0.00 5.832e-01 3.568e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.948 18.121 16.519 14.994 13.263 11.252 8.883 8.311 7.967
0.06 0.69525 9.30103 0.2750858068 1.9001424273    0.275 -2.254  3.4570  4.911    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.68e-16      0.00 5.829e-01 3.571e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.405 16.754 15.357 13.894 12.331 10.469 8.379 7.805 7.481
0.06 0.69525 9.30103 0.2882909477 1.9288516935    0.288 -2.214  3.4605  4.905    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.06e-16      0.00 5.829e-01 3.571e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.304 16.524 15.156 13.700 12.164 10.330 8.285 7.710 7.389
0.06 0.69525 9.30103 0.2946369946 1.9420472685    0.295 -2.191  3.4619  4.898    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.3e-16      0.00 5.830e-01 3.570e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.248 16.415 15.060 13.609 12.084 10.260 8.233 7.657 7.338
0.06 0.69525 9.30103 0.3000000417 1.9529140366    0.300 -2.176  3.4632  4.895    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.46e-16      0.00 5.831e-01 3.569e-01 1.079e-02 2.911e-03 2.640e-02 -1.000 6.000e-02 10.209 16.331 14.985 13.538 12.023 10.208 8.196 7.620 7.302
