# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Tue May 12 07:17:58 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.013 -0.05655 9.77815 0.0900000036 1.0816895926    0.090 -3.413  3.3677  5.228    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-17      0.00 7.145e-01 2.724e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 13.301 22.689 19.987 18.128 15.943 13.680 11.210 10.596 10.318
0.013 -0.05655 9.77815 0.1000000015 1.1711064122    0.100 -3.225  3.3947  5.194    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.99e-17      0.00 7.143e-01 2.726e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 12.833 22.156 19.490 17.641 15.468 13.211 10.743 10.130 9.847
0.013 -0.05655 9.77815 0.1133452430 1.2738052808    0.113 -3.040  3.4191  5.161    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.94e-17      0.00 7.138e-01 2.730e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 12.371 21.513 18.920 17.087 14.953 12.721 10.288 9.675 9.387
0.013 -0.05655 9.77815 0.1200000048 1.3193154741    0.120 -2.956  3.4302  5.146    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-16      0.00 7.137e-01 2.732e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 12.161 20.658 18.275 16.484 14.494 12.360 10.105 9.490 9.197
0.013 -0.05655 9.77815 0.1400000006 1.4384526719    0.140 -2.775  3.4494  5.109    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-16      0.00 7.132e-01 2.737e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 11.708 19.241 17.139 15.431 13.658 11.683 9.698 9.079 8.786
0.013 -0.05655 9.77815 0.1526804119 1.5030815928    0.153 -2.683  3.4582  5.090    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-16      0.00 7.129e-01 2.739e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 11.479 18.584 16.607 14.925 13.251 11.361 9.491 8.871 8.579
0.013 -0.05655 9.77815 0.1599999964 1.5372931554    0.160 -2.634  3.4630  5.080    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.11e-16      0.00 7.128e-01 2.741e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 11.354 18.245 16.329 14.662 13.038 11.192 9.379 8.758 8.467
0.013 -0.05655 9.77815 0.2000000030 1.6938790862    0.200 -2.416  3.4817  5.034    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.28e-16      0.00 7.120e-01 2.749e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 10.810 16.929 15.221 13.610 12.165 10.493 8.881 8.258 7.976
0.013 -0.05655 9.77815 0.2500000000 1.8403257998    0.250 -2.209  3.4976  4.988    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.98e-16      0.00 7.113e-01 2.755e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 10.293 15.858 14.290 12.716 11.397 9.874 8.403 7.779 7.507
0.013 -0.05655 9.77815 0.3000000119 1.9529139769    0.300 -2.047  3.5080  4.946    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-16      0.00 7.111e-01 2.758e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 9.888 15.142 13.649 12.108 10.858 9.416 8.023 7.396 7.132
0.013 -0.05655 9.77815 0.3422524333 2.0305335750    0.342 -1.917  3.5154  4.902    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.95e-16      0.00 7.146e-01 2.723e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 9.561 14.615 13.170 11.652 10.445 9.058 7.713 7.083 6.825
0.013 -0.05655 9.77815 0.3500000238 2.0434175133    0.350 -1.894  3.5166  4.894    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.68e-16      0.00 7.150e-01 2.719e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 9.505 14.527 13.088 11.575 10.375 8.996 7.660 7.029 6.772
0.013 -0.05655 9.77815 0.4000000358 2.1185024810    0.400 -1.749  3.5276  4.851    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-15      0.00 7.151e-01 2.718e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 9.143 13.919 12.525 11.039 9.893 8.594 7.325 6.688 6.440
0.013 -0.05655 9.77815 0.4500000179 2.1822809362    0.450 -1.597  3.5400  4.801    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-15      0.00 7.152e-01 2.717e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 8.764 13.307 11.943 10.487 9.394 8.178 6.977 6.332 6.093
0.013 -0.05655 9.77815 0.5000000000 2.2374541529    0.500 -1.437  3.5558  4.750    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.74e-15      0.00 7.152e-01 2.717e-01 2.359e-03 6.364e-04 5.772e-03 -1.000 1.312e-02 8.364 12.676 11.323 9.893 8.853 7.741 6.618 5.963 5.735
0.013 -0.05655 9.77815 0.5500000119 2.2836582633    0.550 -1.264  3.5761  4.699    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.12e-15      0.00 7.294e-01 2.581e-01 2.249e-03 6.069e-04 5.505e-03 -1.000 1.250e-02 7.931 11.993 10.633 9.228 8.245 7.272 6.241 5.571 5.363
0.013 -0.05655 9.77815 0.5889405012 2.3134633440    0.589 -1.130  3.5956  4.672    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.6e-15      0.00 7.311e-01 2.565e-01 2.237e-03 6.036e-04 5.476e-03 -1.000 1.244e-02 7.595 11.445 10.071 8.701 7.765 6.913 5.955 5.270 5.090
